id,name,pop2018,fips
0500000US34037,"Sussex County, New Jersey",140799,34037
0500000US34039,"Union County, New Jersey",558067,34039
0500000US34041,"Warren County, New Jersey",105779,34041
0500000US35001,"Bernalillo County, New Mexico",678701,35001
0500000US35005,"Chaves County, New Mexico",64689,35005
0500000US35013,"Doña Ana County, New Mexico",217522,35013
0500000US35025,"Lea County, New Mexico",69611,35025
0500000US35031,"McKinley County, New Mexico",72290,35031
0500000US35035,"Otero County, New Mexico",66781,35035
0500000US35043,"Sandoval County, New Mexico",145179,35043
0500000US35045,"San Juan County, New Mexico",125043,35045
0500000US35049,"Santa Fe County, New Mexico",150056,35049
0500000US35061,"Valencia County, New Mexico",76456,35061
0500000US36001,"Albany County, New York",307117,36001
0500000US36005,"Bronx County, New York",1432132,36005
0500000US36007,"Broome County, New York",191659,36007
0500000US36009,"Cattaraugus County, New York",76840,36009
0500000US36011,"Cayuga County, New York",77145,36011
0500000US36013,"Chautauqua County, New York",127939,36013
0500000US36015,"Chemung County, New York",84254,36015
0500000US36019,"Clinton County, New York",80695,36019
0500000US36027,"Dutchess County, New York",293718,36027
0500000US36029,"Erie County, New York",919719,36029
0500000US36045,"Jefferson County, New York",111755,36045
0500000US36047,"Kings County, New York",2582830,36047
0500000US36051,"Livingston County, New York",63227,36051
0500000US36053,"Madison County, New York",70795,36053
0500000US36055,"Monroe County, New York",742474,36055
0500000US36059,"Nassau County, New York",1358343,36059
0500000US36061,"New York County, New York",1628701,36061
0500000US36063,"Niagara County, New York",210433,36063
0500000US36065,"Oneida County, New York",229577,36065
0500000US36067,"Onondaga County, New York",461809,36067
0500000US36069,"Ontario County, New York",109864,36069
0500000US36071,"Orange County, New York",381951,36071
0500000US36075,"Oswego County, New York",117898,36075
0500000US36079,"Putnam County, New York",98892,36079
0500000US36081,"Queens County, New York",2278906,36081
0500000US36083,"Rensselaer County, New York",159442,36083
0500000US36085,"Richmond County, New York",476179,36085
0500000US36087,"Rockland County, New York",325695,36087
0500000US36089,"St. Lawrence County, New York",108047,36089
0500000US36091,"Saratoga County, New York",230163,36091
0500000US36093,"Schenectady County, New York",155350,36093
0500000US36101,"Steuben County, New York",95796,36101
0500000US36103,"Suffolk County, New York",1481093,36103
0500000US36105,"Sullivan County, New York",75498,36105
0500000US36109,"Tompkins County, New York",102793,36109
0500000US36111,"Ulster County, New York",178599,36111
0500000US36113,"Warren County, New York",64265,36113
0500000US36117,"Wayne County, New York",90064,36117
0500000US36119,"Westchester County, New York",967612,36119
0500000US37001,"Alamance County, North Carolina",166436,37001
0500000US37019,"Brunswick County, North Carolina",136744,37019
0500000US37021,"Buncombe County, North Carolina",259103,37021
0500000US37023,"Burke County, North Carolina",90382,37023
0500000US37025,"Cabarrus County, North Carolina",211342,37025
0500000US37027,"Caldwell County, North Carolina",82029,37027
0500000US37031,"Carteret County, North Carolina",69524,37031
0500000US37035,"Catawba County, North Carolina",158652,37035
0500000US37037,"Chatham County, North Carolina",73139,37037
0500000US37045,"Cleveland County, North Carolina",97645,37045
0500000US37049,"Craven County, North Carolina",102912,37049
0500000US37051,"Cumberland County, North Carolina",332330,37051
0500000US37057,"Davidson County, North Carolina",166614,37057
0500000US37063,"Durham County, North Carolina",316739,37063
0500000US37067,"Forsyth County, North Carolina",379099,37067
0500000US37069,"Franklin County, North Carolina",67560,37069
0500000US37071,"Gaston County, North Carolina",222846,37071
0500000US37081,"Guilford County, North Carolina",533670,37081
0500000US37085,"Harnett County, North Carolina",134214,37085
0500000US37089,"Henderson County, North Carolina",116748,37089
0500000US37097,"Iredell County, North Carolina",178435,37097
0500000US37101,"Johnston County, North Carolina",202675,37101
0500000US37109,"Lincoln County, North Carolina",83770,37109
0500000US37119,"Mecklenburg County, North Carolina",1093901,37119
0500000US37125,"Moore County, North Carolina",98682,37125
0500000US37127,"Nash County, North Carolina",94016,37127
0500000US37129,"New Hanover County, North Carolina",232274,37129
0500000US37133,"Onslow County, North Carolina",197683,37133
0500000US37135,"Orange County, North Carolina",146027,37135
0500000US37147,"Pitt County, North Carolina",179914,37147
0500000US37151,"Randolph County, North Carolina",143351,37151
0500000US37155,"Robeson County, North Carolina",131831,37155
0500000US37157,"Rockingham County, North Carolina",90690,37157
0500000US37159,"Rowan County, North Carolina",141262,37159
0500000US37161,"Rutherford County, North Carolina",66826,37161
0500000US37171,"Surry County, North Carolina",71948,37171
0500000US37179,"Union County, North Carolina",235908,37179
0500000US37183,"Wake County, North Carolina",1092305,37183
0500000US37191,"Wayne County, North Carolina",123248,37191
0500000US37193,"Wilkes County, North Carolina",68557,37193
0500000US37195,"Wilson County, North Carolina",81455,37195
0500000US38015,"Burleigh County, North Dakota",95273,38015
0500000US38017,"Cass County, North Dakota",181516,38017
0500000US38035,"Grand Forks County, North Dakota",70770,38035
0500000US38101,"Ward County, North Dakota",67744,38101
0500000US39003,"Allen County, Ohio",102663,39003
0500000US39007,"Ashtabula County, Ohio",97493,39007
0500000US39009,"Athens County, Ohio",65818,39009
0500000US39013,"Belmont County, Ohio",67505,39013
0500000US39017,"Butler County, Ohio",382378,39017
0500000US39023,"Clark County, Ohio",134585,39023
0500000US39025,"Clermont County, Ohio",205466,39025
0500000US39029,"Columbiana County, Ohio",102665,39029
0500000US39035,"Cuyahoga County, Ohio",1243857,39035
0500000US39041,"Delaware County, Ohio",204826,39041
0500000US39043,"Erie County, Ohio",74615,39043
0500000US39045,"Fairfield County, Ohio",155782,39045
0500000US39049,"Franklin County, Ohio",1310300,39049
0500000US39055,"Geauga County, Ohio",94031,39055
0500000US39057,"Greene County, Ohio",167995,39057
0500000US39061,"Hamilton County, Ohio",816684,39061
0500000US39063,"Hancock County, Ohio",75930,39063
0500000US39081,"Jefferson County, Ohio",65767,39081
0500000US39085,"Lake County, Ohio",230514,39085
0500000US39089,"Licking County, Ohio",175769,39089
